FILENAME,SMILES
./ske_56_23_1.mol,O=[N+]([O-])c1nnc2nccnn12
./ske_56_23_2.mol,O=[N+]([O-])c1cnn2cnnc2n1
./ske_56_23_3.mol,O=[N+]([O-])c1cnc2nncn2n1
./ske_56_23_4.mol,Nc1nnc2nccnn12
./ske_56_23_5.mol,Nc1cnn2cnnc2n1
./ske_56_23_6.mol,Nc1cnc2nncn2n1
./ske_56_23_7.mol,O=[N+]([O-])c1cnn2c([N+](=O)[O-])nnc2n1
./ske_56_23_8.mol,O=[N+]([O-])c1cnc2nnc([N+](=O)[O-])n2n1
./ske_56_23_9.mol,O=[N+]([O-])c1nc2nncn2nc1[N+](=O)[O-]
./ske_56_23_10.mol,Nc1cnn2c([N+](=O)[O-])nnc2n1
./ske_56_23_11.mol,Nc1cnc2nnc([N+](=O)[O-])n2n1
./ske_56_23_12.mol,Nc1nnc2nc([N+](=O)[O-])cnn12
./ske_56_23_13.mol,Nc1nn2cnnc2nc1[N+](=O)[O-]
./ske_56_23_14.mol,Nc1nnc2ncc([N+](=O)[O-])nn12
./ske_56_23_15.mol,Nc1nc2nncn2nc1[N+](=O)[O-]
./ske_56_23_16.mol,Nc1cnn2c(N)nnc2n1
./ske_56_23_17.mol,Nc1cnc2nnc(N)n2n1
./ske_56_23_18.mol,Nc1nc2nncn2nc1N
./ske_56_23_19.mol,O=[N+]([O-])c1nc2nnc([N+](=O)[O-])n2nc1[N+](=O)[O-]
./ske_56_23_20.mol,Nc1nn2c([N+](=O)[O-])nnc2nc1[N+](=O)[O-]
./ske_56_23_21.mol,Nc1nc2nnc([N+](=O)[O-])n2nc1[N+](=O)[O-]
./ske_56_23_22.mol,Nc1nnc2nc([N+](=O)[O-])c([N+](=O)[O-])nn12
./ske_56_23_23.mol,Nc1nc2nnc([N+](=O)[O-])n2nc1N
./ske_56_23_24.mol,Nc1nn2c(N)nnc2nc1[N+](=O)[O-]
./ske_56_23_25.mol,Nc1nc2nnc(N)n2nc1[N+](=O)[O-]
./ske_56_23_26.mol,Nc1nc2nnc(N)n2nc1N
