FILENAME,SMILES
./ske_56_2_1.mol,O=[N+]([O-])c1cc2cncnn2n1
./ske_56_2_2.mol,O=[N+]([O-])c1cnn2ncncc12
./ske_56_2_3.mol,O=[N+]([O-])c1ncnn2nccc12
./ske_56_2_4.mol,O=[N+]([O-])c1ncc2ccnn2n1
./ske_56_2_5.mol,Nc1cc2cncnn2n1
./ske_56_2_6.mol,Nc1cnn2ncncc12
./ske_56_2_7.mol,Nc1ncnn2nccc12
./ske_56_2_8.mol,Nc1ncc2ccnn2n1
./ske_56_2_9.mol,O=[N+]([O-])c1nn2ncncc2c1[N+](=O)[O-]
./ske_56_2_10.mol,O=[N+]([O-])c1cc2c([N+](=O)[O-])ncnn2n1
./ske_56_2_11.mol,O=[N+]([O-])c1cc2cnc([N+](=O)[O-])nn2n1
./ske_56_2_12.mol,O=[N+]([O-])c1cnn2ncnc([N+](=O)[O-])c12
./ske_56_2_13.mol,O=[N+]([O-])c1ncc2c([N+](=O)[O-])cnn2n1
./ske_56_2_14.mol,O=[N+]([O-])c1nc([N+](=O)[O-])c2ccnn2n1
./ske_56_2_15.mol,Nc1c([N+](=O)[O-])nn2ncncc12
./ske_56_2_16.mol,Nc1ncnn2nc([N+](=O)[O-])cc12
./ske_56_2_17.mol,Nc1ncc2cc([N+](=O)[O-])nn2n1
./ske_56_2_18.mol,Nc1nn2ncncc2c1[N+](=O)[O-]
./ske_56_2_19.mol,Nc1ncnn2ncc([N+](=O)[O-])c12
./ske_56_2_20.mol,Nc1ncc2c([N+](=O)[O-])cnn2n1
./ske_56_2_21.mol,Nc1cc2c([N+](=O)[O-])ncnn2n1
./ske_56_2_22.mol,Nc1cnn2ncnc([N+](=O)[O-])c12
./ske_56_2_23.mol,Nc1nc([N+](=O)[O-])c2ccnn2n1
./ske_56_2_24.mol,Nc1cc2cnc([N+](=O)[O-])nn2n1
./ske_56_2_25.mol,Nc1cnn2nc([N+](=O)[O-])ncc12
./ske_56_2_26.mol,Nc1nc([N+](=O)[O-])nn2nccc12
./ske_56_2_27.mol,Nc1nn2ncncc2c1N
./ske_56_2_28.mol,Nc1cc2c(N)ncnn2n1
./ske_56_2_29.mol,Nc1cc2cnc(N)nn2n1
./ske_56_2_30.mol,Nc1cnn2ncnc(N)c12
./ske_56_2_31.mol,Nc1ncc2c(N)cnn2n1
./ske_56_2_32.mol,Nc1nc(N)c2ccnn2n1
./ske_56_2_33.mol,O=[N+]([O-])c1nn2ncnc([N+](=O)[O-])c2c1[N+](=O)[O-]
./ske_56_2_34.mol,O=[N+]([O-])c1ncc2c([N+](=O)[O-])c([N+](=O)[O-])nn2n1
./ske_56_2_35.mol,O=[N+]([O-])c1cc2c([N+](=O)[O-])nc([N+](=O)[O-])nn2n1
./ske_56_2_36.mol,O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])cnn2n1
./ske_56_2_37.mol,Nc1ncnn2nc([N+](=O)[O-])c([N+](=O)[O-])c12
./ske_56_2_38.mol,Nc1ncc2c([N+](=O)[O-])c([N+](=O)[O-])nn2n1
./ske_56_2_39.mol,Nc1c([N+](=O)[O-])nn2ncnc([N+](=O)[O-])c12
./ske_56_2_40.mol,Nc1nc([N+](=O)[O-])c2cc([N+](=O)[O-])nn2n1
./ske_56_2_41.mol,Nc1c([N+](=O)[O-])nn2nc([N+](=O)[O-])ncc12
./ske_56_2_42.mol,Nc1nc([N+](=O)[O-])nn2nc([N+](=O)[O-])cc12
./ske_56_2_43.mol,Nc1nn2ncnc([N+](=O)[O-])c2c1[N+](=O)[O-]
./ske_56_2_44.mol,Nc1nc([N+](=O)[O-])c2c([N+](=O)[O-])cnn2n1
./ske_56_2_45.mol,Nc1nn2nc([N+](=O)[O-])ncc2c1[N+](=O)[O-]
./ske_56_2_46.mol,Nc1nc([N+](=O)[O-])nn2ncc([N+](=O)[O-])c12
./ske_56_2_47.mol,Nc1cc2c([N+](=O)[O-])nc([N+](=O)[O-])nn2n1
./ske_56_2_48.mol,Nc1cnn2nc([N+](=O)[O-])nc([N+](=O)[O-])c12
./ske_56_2_49.mol,Nc1ncnn2nc([N+](=O)[O-])c(N)c12
./ske_56_2_50.mol,Nc1ncc2c(N)c([N+](=O)[O-])nn2n1
./ske_56_2_51.mol,Nc1nc(N)c2cc([N+](=O)[O-])nn2n1
