FILENAME,SMILES
./ske_56_6_1.mol,O=[N+]([O-])c1cc2nnccn2n1
./ske_56_6_2.mol,O=[N+]([O-])c1cnn2ccnnc12
./ske_56_6_3.mol,O=[N+]([O-])c1cn2nccc2nn1
./ske_56_6_4.mol,O=[N+]([O-])c1cnnc2ccnn12
./ske_56_6_5.mol,Nc1cc2nnccn2n1
./ske_56_6_6.mol,Nc1cnn2ccnnc12
./ske_56_6_7.mol,Nc1cn2nccc2nn1
./ske_56_6_8.mol,Nc1cnnc2ccnn12
./ske_56_6_9.mol,O=[N+]([O-])c1nn2ccnnc2c1[N+](=O)[O-]
./ske_56_6_10.mol,O=[N+]([O-])c1cn2nc([N+](=O)[O-])cc2nn1
./ske_56_6_11.mol,O=[N+]([O-])c1cc2nncc([N+](=O)[O-])n2n1
./ske_56_6_12.mol,O=[N+]([O-])c1cn2ncc([N+](=O)[O-])c2nn1
./ske_56_6_13.mol,O=[N+]([O-])c1cnn2c([N+](=O)[O-])cnnc12
./ske_56_6_14.mol,O=[N+]([O-])c1nnc2ccnn2c1[N+](=O)[O-]
./ske_56_6_15.mol,Nc1c([N+](=O)[O-])nn2ccnnc12
./ske_56_6_16.mol,Nc1cn2nc([N+](=O)[O-])cc2nn1
./ske_56_6_18.mol,Nc1nn2ccnnc2c1[N+](=O)[O-]
./ske_56_6_17.mol,Nc1cnnc2cc([N+](=O)[O-])nn12
./ske_56_6_19.mol,Nc1cn2ncc([N+](=O)[O-])c2nn1
./ske_56_6_20.mol,Nc1cnnc2c([N+](=O)[O-])cnn12
./ske_56_6_21.mol,Nc1cc2nnc([N+](=O)[O-])cn2n1
./ske_56_6_22.mol,Nc1cnn2cc([N+](=O)[O-])nnc12
./ske_56_6_23.mol,Nc1c([N+](=O)[O-])nnc2ccnn12
./ske_56_6_24.mol,Nc1cc2nncc([N+](=O)[O-])n2n1
./ske_56_6_25.mol,Nc1cnn2c([N+](=O)[O-])cnnc12
./ske_56_6_26.mol,Nc1nnc2ccnn2c1[N+](=O)[O-]
./ske_56_6_27.mol,Nc1nn2ccnnc2c1N
./ske_56_6_28.mol,Nc1cn2nc(N)cc2nn1
./ske_56_6_29.mol,Nc1cc2nncc(N)n2n1
./ske_56_6_30.mol,Nc1cn2ncc(N)c2nn1
./ske_56_6_31.mol,Nc1cnn2c(N)cnnc12
./ske_56_6_32.mol,Nc1nnc2ccnn2c1N
./ske_56_6_33.mol,O=[N+]([O-])c1cn2nc([N+](=O)[O-])c([N+](=O)[O-])c2nn1
./ske_56_6_34.mol,O=[N+]([O-])c1nn2c([N+](=O)[O-])cnnc2c1[N+](=O)[O-]
./ske_56_6_35.mol,O=[N+]([O-])c1cc2nnc([N+](=O)[O-])c([N+](=O)[O-])n2n1
./ske_56_6_36.mol,O=[N+]([O-])c1nnc2c([N+](=O)[O-])cnn2c1[N+](=O)[O-]
./ske_56_6_37.mol,Nc1cn2nc([N+](=O)[O-])c([N+](=O)[O-])c2nn1
./ske_56_6_38.mol,Nc1cnnc2c([N+](=O)[O-])c([N+](=O)[O-])nn12
./ske_56_6_39.mol,Nc1c([N+](=O)[O-])nn2cc([N+](=O)[O-])nnc12
./ske_56_6_40.mol,Nc1c([N+](=O)[O-])nnc2cc([N+](=O)[O-])nn12
./ske_56_6_41.mol,Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])cnnc12
./ske_56_6_42.mol,Nc1nnc2cc([N+](=O)[O-])nn2c1[N+](=O)[O-]
./ske_56_6_43.mol,Nc1nn2cc([N+](=O)[O-])nnc2c1[N+](=O)[O-]
./ske_56_6_44.mol,Nc1c([N+](=O)[O-])nnc2c([N+](=O)[O-])cnn12
./ske_56_6_45.mol,Nc1nn2c([N+](=O)[O-])cnnc2c1[N+](=O)[O-]
./ske_56_6_46.mol,Nc1nnc2c([N+](=O)[O-])cnn2c1[N+](=O)[O-]
./ske_56_6_47.mol,Nc1cc2nnc([N+](=O)[O-])c([N+](=O)[O-])n2n1
./ske_56_6_48.mol,Nc1cnn2c([N+](=O)[O-])c([N+](=O)[O-])nnc12
./ske_56_6_49.mol,Nc1cn2nc([N+](=O)[O-])c(N)c2nn1
./ske_56_6_50.mol,Nc1c([N+](=O)[O-])nn2c(N)cnnc12
./ske_56_6_51.mol,Nc1nnc2cc([N+](=O)[O-])nn2c1N
